ID,ra,dec,sel,imag,kmag,zspec,Qf,Q,Remarks,fits1d,ascii1d,jpg1d,fits2d
C1785365,149.358553,2.750301,512,20.11,20.19,0.5655,2,1.5,H+K?,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.m41be.011.lid_764.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.m41be.011.lid_764.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.m41be.011.lid_764.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.m41be.011.lid_764.fits"">2D Fits spectrum</a>"
C1343700,149.366394,2.376694,128,22.89,21.73,0.7080,3,2.0,"[OII],[OIII]","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.mn44.055.MIPS_6756.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.mn44.055.MIPS_6756.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.mn44.055.MIPS_6756.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.mn44.055.MIPS_6756.fits"">2D Fits spectrum</a>"
C1347270,149.369095,2.344088,128,21.73,19.99,0.7080,3,2.0,[OIII]d,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.mn44.054.MIPS_6584.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.mn44.054.MIPS_6584.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.mn44.054.MIPS_6584.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.mn44.054.MIPS_6584.fits"">2D Fits spectrum</a>"
C1784226,149.373750,2.776508,2,18.17,17.13,0.0000,4,2.0,M star,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.m41be.051.4972.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.m41be.051.4972.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.m41be.051.4972.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.m41be.051.4972.fits"">2D Fits spectrum</a>"
C1785765,149.374100,2.736905,2,21.37,19.37,0.5490,2,1.5,"[OII],H+K?","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.m41be.020.J095729_80+02441.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.m41be.020.J095729_80+02441.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.m41be.020.J095729_80+02441.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.m41be.020.J095729_80+02441.fits"">2D Fits spectrum</a>"
C1344930,149.374497,2.415250,2,15.41,15.14,0.0000,4,2.0,star,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.mn44.067.1943.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.mn44.067.1943.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.mn44.067.1943.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.mn44.067.1943.fits"">2D Fits spectrum</a>"
C1344754,149.375504,2.423475,128,24.28,21.87,1.0790,1,1.5,"Hg,[OIII]?","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.mn44.043.MIPS_30328.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.mn44.043.MIPS_30328.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.mn44.043.MIPS_30328.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.mn44.043.MIPS_30328.fits"">2D Fits spectrum</a>"
C1346553,149.377594,2.363211,2,18.49,18.14,0.0000,4,2.0,star,"<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.mn44.066.3203.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.mn44.066.3203.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.mn44.066.3203.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.mn44.066.3203.fits"">2D Fits spectrum</a>"
C1346616,149.381104,2.361963,512,21.84,20.43,0.7720,4,2.0,"[OII],[OIII]d","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.mn44.004.lid_731.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.mn44.004.lid_731.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.mn44.004.lid_731.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.mn44.004.lid_731.fits"">2D Fits spectrum</a>"
C1345095,149.382095,2.409508,128,22.50,20.64,0.9300,3,2.0,"[OII],Hb","<a href=""/data/COSMOS/spectra/deimos/spec1d_fits/spec1d.mn44.046.MIPS_35174.fits"">1D Fits spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_tbl/spec1d.mn44.046.MIPS_35174.tbl"">1D ascii spectrum</a>","<a href=""/data/COSMOS/spectra/deimos/spec1d_jpg/spec1d.mn44.046.MIPS_35174.jpg"">1D preview</a>","<a href=""/data/COSMOS/spectra/deimos/spec2d/spec2d.mn44.046.MIPS_35174.fits"">2D Fits spectrum</a>"
