Complex name|Line Name|Wavelength
Lya|Lya_na|1215.6700439453125
Lya|Lya_br|1215.6700439453125
NV|NV1240|1240.00
SiIV|OI1304|1304.3499755859375
SiIV|CII1335|1335.300048828125
SiIV|SiIV_OIV2|1396.760009765625
SiIV|SiIV_OIV1|1402.06005859375
CIV|CIV_br|1549.06005859375
CIV|CIV_na|1549.06005859375
CIV|HeII1640|1640.4200439453125
CIV|HeII1640_br|1640.4200439453125
CIV|OIII1663|1663.47998046875
CIV|OIII1663_br|1663.47998046875
CIII|NIV1718|1718.550048828125
CIII|NIII1750|1750.260009765625
CIII|FeII1787|1786.699951171875
CIII|SiII1816|1816.97998046875
CIII|AlIII1857|1857.4000244140625
CIII|SiIII1892|1892.030029296875
CIII|CIII_br|1908.72998046875
CIII|CIII_na|1908.72998046875
MgII|MgII_na|2798.75
MgII|MgII_br|2798.75
NeV|NeV3426_br|3426.840087890625
NeV|NeV3426|3426.840087890625
OII|OII3728|3728.47998046875
CaII|CaII3934|3934.780029296875
HeII|HeII4687_na|4687.02001953125
HeII|HeII4687_br|4687.02001953125
Hb|Hb_br|4862.68017578125
Hb|Hb_na|4862.68017578125
Hb|OIII4959c|4960.2998046875
Hb|OIII4959w|4960.2998046875
Hb|OIII5007w|5008.240234375
Hb|OIII5007c|5008.240234375
Ha|NII6549|6549.85009765625
Ha|Ha_na|6564.60986328125
Ha|Ha_br|6564.60986328125
Ha|NII6585|6585.27978515625
SII|SII6718|6718.2900390625
SII|SII6732|6732.669921875
